Fecha (dd/mm/aaaa),BRL,CHF,GBP,JPY
06/08/2020,715.76562,"4,146.20621","4,963.48627",35.78760
07/08/2020,714.57519,"4,131.59798","4,920.55025",35.60659
08/08/2020,714.57519,"4,131.59798","4,920.55025",35.60659
09/08/2020,714.57519,"4,131.59798","4,920.55025",35.60659
10/08/2020,705.60037,"4,123.01214","4,934.87499",35.64362
11/08/2020,699.13401,"4,116.41008","4,934.08691",35.41775
12/08/2020,690.74596,"4,119.20457","4,895.08608",35.07952
13/08/2020,688.53423,"4,128.85883","4,918.72241",35.14185
14/08/2020,700.26024,"4,142.34660","4,938.97925",35.39130
15/08/2020,703.25309,"4,160.05058","4,960.08796",35.54255
16/08/2020,703.25309,"4,160.05058","4,960.08796",35.54255
17/08/2020,703.25309,"4,173.81950","4,956.30481",35.67326
18/08/2020,702.58700,"4,187.21638","5,001.32430",35.88305
19/08/2020,692.39565,"4,159.32072","4,989.78019",35.82457
20/08/2020,686.10746,"4,141.99472","4,949.85989",35.55867
21/08/2020,671.12593,"4,156.66995","4,958.20997",35.79507
22/08/2020,677.34496,"4,195.18798","5,004.15552",36.12676
23/08/2020,677.34496,"4,195.18798","5,004.15552",36.12676
24/08/2020,682.73395,"4,204.40514","5,002.62461",36.16090
25/08/2020,687.01115,"4,227.55169","5,042.92128",36.08082
26/08/2020,690.70386,"4,258.22506","5,102.54200",36.43946
27/08/2020,690.92215,"4,229.40076","5,074.48748",36.14244
28/08/2020,682.78284,"4,226.31928","5,093.43266",36.28236
29/08/2020,672.09651,"4,160.17258","5,013.71465",35.71450
30/08/2020,672.09651,"4,160.17258","5,013.71465",35.71450
31/08/2020,687.79470,"4,177.27171","5,035.90089",35.46524
01/09/2020,684.63085,"4,128.99349","5,037.57645",35.34072
02/09/2020,685.56750,"4,045.78207","4,900.60404",34.70536
03/09/2020,679.94789,"4,019.02980","4,850.28675",34.39747
04/09/2020,688.34058,"3,992.16479","4,825.91683",34.36393
05/09/2020,697.64663,"4,046.13703","4,891.16102",34.82852
06/09/2020,697.64663,"4,046.13703","4,891.16102",34.82852
07/09/2020,700.69641,"4,047.46392","4,880.42342",34.84490
08/09/2020,700.69641,"4,038.63438","4,823.40307",34.95345
09/09/2020,699.77091,"4,113.43332","4,885.12444",35.37196
10/09/2020,701.12980,"4,096.59466","4,782.98557",35.01554
11/09/2020,699.08936,"4,070.26729","4,730.80798",34.84912
12/09/2020,700.73682,"4,079.85920","4,741.95650",34.93124
13/09/2020,700.73682,"4,079.85920","4,741.95650",34.93124
14/09/2020,701.82409,"4,092.46386","4,778.67560",35.10980
15/09/2020,697.83683,"4,072.93158","4,752.49350",35.05594
16/09/2020,698.66279,"4,057.60079","4,790.01039",35.14109
17/09/2020,705.14792,"4,070.17582","4,796.86908",35.37593
18/09/2020,706.38180,"4,084.27707","4,815.30079",35.61163
19/09/2020,708.42033,"4,096.06377","4,829.19713",35.71440
20/09/2020,708.42033,"4,096.06377","4,829.19713",35.71440
21/09/2020,704.45511,"4,068.33023","4,767.72852",35.63242
22/09/2020,696.35521,"4,123.73803","4,823.84120",36.11069
23/09/2020,701.96785,"4,130.07689","4,867.67745",36.22399
24/09/2020,698.59868,"4,165.60646","4,913.34012",36.63569
25/09/2020,695.37588,"4,170.75796","4,922.43766",36.67676
26/09/2020,694.30063,"4,164.30878","4,914.82616",36.62005
27/09/2020,694.30063,"4,164.30878","4,914.82616",36.62005
28/09/2020,694.88690,"4,171.49482","4,967.81516",36.62352
29/09/2020,691.09432,"4,189.16865","4,957.26957",36.52786
30/09/2020,686.28297,"4,223.12465","5,015.46942",36.76371
01/10/2020,685.35486,"4,204.79712","4,974.47334",36.59789
02/10/2020,680.84344,"4,177.81885","4,970.83525",36.47560
03/10/2020,687.83556,"4,220.72414","5,021.88466",36.85019
04/10/2020,687.83556,"4,220.72414","5,021.88466",36.85019
05/10/2020,687.55535,"4,244.25978","5,038.57640",36.74902
06/10/2020,682.81136,"4,206.33617","4,986.88125",36.39914
07/10/2020,693.26799,"4,174.05104","4,936.91597",36.09819
08/10/2020,685.17282,"4,182.87738","4,962.64624",36.20215
09/10/2020,683.29892,"4,213.00197","4,991.64900",36.34731
10/10/2020,680.54418,"4,196.01711","4,971.52500",36.20077
11/10/2020,680.54418,"4,196.01711","4,971.52500",36.20077
12/10/2020,680.54418,"4,208.94783","4,997.91232",36.33146
13/10/2020,690.45985,"4,185.91287","4,966.93590",36.24194
14/10/2020,690.42861,"4,228.88474","5,029.41254",36.69540
15/10/2020,690.43632,"4,207.54241","4,962.45904",36.51173
16/10/2020,686.26393,"4,215.76069","4,984.21515",36.56992
17/10/2020,684.84136,"4,207.02176","4,973.88328",36.49411
18/10/2020,684.84136,"4,207.02176","4,973.88328",36.49411
19/10/2020,684.18356,"4,230.15506","5,000.80864",36.47681
20/10/2020,685.99889,"4,239.11748","4,982.13834",36.41046
21/10/2020,686.22635,"4,240.88342","5,043.23503",36.69339
22/10/2020,675.80535,"4,173.47816","4,956.19429",36.11518
23/10/2020,676.66356,"4,168.11610","4,926.74428",36.03062
24/10/2020,677.72601,"4,174.66063","4,934.47997",36.08719
25/10/2020,677.72601,"4,174.66063","4,934.47997",36.08719
26/10/2020,674.10271,"4,170.51819","4,926.91465",36.07687
27/10/2020,676.96814,"4,206.55339","4,982.21189",36.50378
28/10/2020,674.56801,"4,189.82845","4,952.53695",36.52444
29/10/2020,670.18964,"4,190.53125","4,952.41023",36.69717
30/10/2020,666.04322,"4,201.16773","4,978.21219",36.83055
31/10/2020,667.60558,"4,211.02259","4,989.88979",36.91695
01/11/2020,667.60558,"4,211.02259","4,989.88979",36.91695
02/11/2020,667.60558,"4,197.73716","4,982.17267",36.82534
03/11/2020,668.58885,"4,230.41333","5,043.90963",36.90636
04/11/2020,672.08950,"4,193.75891","4,967.42624",36.59854
05/11/2020,668.78579,"4,202.59410","4,992.28956",36.73417
06/11/2020,676.72695,"4,186.20843","4,948.29415",36.43934
07/11/2020,672.11873,"4,157.70214","4,914.59839",36.19120
08/11/2020,672.11873,"4,157.70214","4,914.59839",36.19120
09/11/2020,675.89816,"4,102.94149","4,915.71985",35.46669
10/11/2020,690.36258,"3,994.03001","4,831.14875",34.66251
11/11/2020,679.92177,"3,976.57952","4,818.29495",34.56585
12/11/2020,675.84329,"3,995.29386","4,794.20165",34.73028
13/11/2020,674.12734,"3,991.48330","4,799.51938",34.85203
14/11/2020,672.96812,"3,984.61959","4,791.26618",34.79210
15/11/2020,672.96812,"3,984.61959","4,791.26618",34.79210
16/11/2020,672.96812,"3,990.29818","4,797.09010",34.80541
17/11/2020,663.64315,"3,998.62682","4,826.93769",34.93234
18/11/2020,673.65738,"3,998.22921","4,836.62029",35.07178
19/11/2020,689.21324,"4,000.14255","4,824.12292",35.11484
20/11/2020,683.95094,"4,002.08493","4,846.63119",35.13583
21/11/2020,684.47603,"4,005.15746","4,850.35211",35.16281
22/11/2020,684.47603,"4,005.15746","4,850.35211",35.16281
23/11/2020,682.23705,"3,996.38672","4,853.27203",34.94064
24/11/2020,674.98792,"3,984.77569","4,853.21782",34.71495
25/11/2020,674.28698,"4,006.20189","4,875.74809",34.90027
26/11/2020,676.68311,"3,992.04984","4,826.70394",34.72463
27/11/2020,680.58840,"4,002.64234","4,832.13453",34.81478
28/11/2020,678.90591,"3,992.74737","4,820.18896",34.72872
29/11/2020,678.90591,"3,992.74737","4,820.18896",34.72872
30/11/2020,675.18695,"3,990.10054","4,822.35583",34.63878
01/12/2020,673.75213,"3,987.38898","4,800.49416",34.38154
02/12/2020,674.18865,"3,970.28896","4,742.50623",34.03050
03/12/2020,676.07010,"3,968.56115","4,770.18682",34.05503
04/12/2020,674.44933,"3,908.65611","4,691.24040",33.41754
05/12/2020,671.74683,"3,892.99427","4,672.44277",33.28364
06/12/2020,671.74683,"3,892.99427","4,672.44277",33.28364
07/12/2020,670.69439,"3,901.75537","4,618.34993",33.33483
08/12/2020,674.59381,"3,925.32357","4,660.89546",33.49966
09/12/2020,683.69207,"3,920.02922","4,672.40470",33.47394
10/12/2020,678.19110,"3,907.72353","4,600.44982",33.20011
11/12/2020,678.30114,"3,872.54659","4,557.01835",33.18473
