id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
Tucst2dNbtWouafaG5hu,viernes,14:09:50.504000,"14:09:58,469","14:10:24,167","14:10:37,164",efectivo,
6O3QJR9z4l3VlNoadwZD,viernes,14:12:11.054000,"14:12:24,252","14:13:36,263","14:14:25,257",efectivo,
BbQGTUmTLqUjUzTpAICE,viernes,12:50:42.376000,"12:50:45,626","12:50:49,587","12:52:01,412",efectivo,
F847ERZyFrcAH17Etskd,viernes,13:33:21.808000,"13:33:31,887","13:33:42,750","13:33:59,584",efectivo,
G4pSDThgT7NDVLWIEbYq,viernes,14:19:16.335000,"14:20:21,467","14:20:29,275","14:21:16,901",efectivo,
GQxpcXYX89wIReprYicZ,viernes,14:05:16.395000,"14:05:23,884","14:05:29,313","14:05:37,547",efectivo,
HGkM4bWI6hnnnpuWDYPz,viernes,13:16:40.605000,"13:16:50,280","13:16:59,991","13:17:23,559",efectivo,
I9Q3RdSti853bfYu1fpe,viernes,13:35:07.174000,"13:36:28,405","13:36:30,323","13:36:35,974",efectivo,La cajera se puso a hacer pedidos y no ateniend
Mbs7hBZJBAifos576mp3,viernes,13:42:19.644000,"13:42:30,236","13:42:38,663","13:42:42,948",efectivo,
NhXqC3HNyeuGECx4xE8E,viernes,13:30:13.038000,"13:30:52,266","13:31:44,525","13:32:41,876",efectivo,
Or6z63305LwmfsTxqqg4,viernes,14:24:53.104000,"14:24:54,605","14:25:20,227","14:26:24,054",efectivo,
Ql6s1OHNE8Z3N3wUYnzB,viernes,13:55:35.137000,"13:55:51,995","13:56:10,388","13:56:14,537",efectivo,
Tz4dyCJaAKmtrHwgPIJ7,viernes,13:35:23.584000,"13:36:40,562","13:36:55,170","13:37:33,919",efectivo,
ZFjpzmsMQQz2Jcupadb3,viernes,13:46:44.422000,"13:47:10,853","13:47:27,482","13:47:34,215",efectivo,
Zkj72yZa7j2cBUAKvu9s,viernes,13:14:31.266000,"13:14:32,561","13:14:39,371","13:15:00,046",efectivo,
ZlCdzaMz23RPfC6NaSro,viernes,13:51:04.081000,"13:51:29,714","13:51:48,901","13:51:55,294",efectivo,
bQjyyxfMtToJgocETeY2,viernes,13:28:48.998000,"13:29:09,354","13:29:29,553","13:29:33,035",efectivo,
d7OEJmujXYdhub1ArNCN,viernes,14:19:14.468000,"14:19:57,279","14:20:00,855","14:20:16,608",efectivo,
dMcF2yEX4mg9UnJJLm6y,viernes,12:54:53.611000,"12:54:55,111","12:55:08,639","12:56:03,321",Tarjeta,
dMdoBMLSNjvrAGNzfUbl,viernes,13:31:31.397000,"13:33:02,219","13:33:24,527","13:33:28,039",efectivo,
dxBvj6ZIxDhSszoGuU47,viernes,14:20:07.228000,"14:23:22,458","14:23:37,054","14:23:49,077",efectivo,
dzgnKOgPk8tjXZgviIO1,viernes,12:19:45.382000,"12:19:53,014","12:19:56,641","12:22:17,923",Tarjeta,
e6uLGTDSu1Nr2yfsd4l5,viernes,12:38:26.864000,"12:38:30,629","12:38:45,484","12:39:13,291",efectivo,
emSgHejNTTm9VfrMOQRQ,viernes,13:14:11.994000,"13:14:18,930","13:14:25,285","13:14:28,437",efectivo,
