dd/mm/aaaa,COP/GBP,COP/JPY
12/11/2020,"4.793,47","34,72"
13/11/2020,"4.798,79","34,85"
14/11/2020,"4.790,54","34,79"
15/11/2020,"4.790,54","34,79"
16/11/2020,"4.796,36","34,80"
17/11/2020,"4.826,21","34,93"
18/11/2020,"4.835,89","35,07"
19/11/2020,"4.823,39","35,11"
20/11/2020,"4.845,90","35,13"
21/11/2020,"4.849,62","35,16"
22/11/2020,"4.849,62","35,16"
23/11/2020,"4.852,54","34,94"
24/11/2020,"4.852,49","34,71"
25/11/2020,"4.875,02","34,89"
26/11/2020,"4.825,80","34,72"
27/11/2020,"4.831,41","34,81"
28/11/2020,"4.819,47","34,72"
29/11/2020,"4.819,47","34,72"
30/11/2020,"4.821,45","34,63"
01/12/2020,"4.799,78","34,38"
02/12/2020,"4.741,79","34,03"
03/12/2020,"4.769,30","34,05"
04/12/2020,"4.690,54","33,41"
05/12/2020,"4.671,75","33,28"
06/12/2020,"4.671,75","33,28"
07/12/2020,"4.617,66","33,33"
08/12/2020,"4.660,02","33,49"
09/12/2020,"4.671,71","33,47"
10/12/2020,"4.599,58","33,20"
11/12/2020,"4.556,33","33,18"
12/12/2020,"4.535,93","33,03"
13/12/2020,"4.535,93","33,03"
14/12/2020,"4.572,15","32,99"
15/12/2020,"4.591,97","33,04"
16/12/2020,"4.619,27","33,06"
17/12/2020,"4.643,65","33,16"
18/12/2020,"4.599,15","32,99"
19/12/2020,"4.611,88","33,08"
20/12/2020,"4.611,88","33,08"
21/12/2020,"4.555,62","33,05"
22/12/2020,"4.584,26","33,19"
23/12/2020,"4.658,02","33,25"
24/12/2020,"4.714,10","33,61"
25/12/2020,"4.729,34","33,71"
26/12/2020,"4.729,34","33,71"
27/12/2020,"4.729,34","33,71"
28/12/2020,"4.697,37","33,64"
29/12/2020,"4.715,63","33,74"
30/12/2020,"4.738,96","33,73"
31/12/2020,"4.692,06","33,25"
01/01/2021,"4.692,06","33,25"
02/01/2021,"4.692,06","33,25"
03/01/2021,"4.692,06","33,25"
04/01/2021,"4.661,16","33,28"
05/01/2021,"4.650,55","33,28"
06/01/2021,"4.676,10","33,38"
07/01/2021,"4.642,59","32,98"
08/01/2021,"4.702,35","33,33"
09/01/2021,"4.727,79","33,51"
10/01/2021,"4.727,79","33,51"
11/01/2021,"4.691,45","33,35"
12/01/2021,"4.738,06","33,38"
13/01/2021,"4.756,46","33,56"
14/01/2021,"4.758,05","33,50"
15/01/2021,"4.712,28","33,40"
16/01/2021,"4.708,26","33,37"
17/01/2021,"4.708,26","33,37"
18/01/2021,"4.706,35","33,43"
19/01/2021,"4.720,39","33,37"
20/01/2021,"4.746,53","33,62"
21/01/2021,"4.771,42","33,56"
22/01/2021,"4.754,24","33,50"
23/01/2021,"4.819,55","33,96"
