copas,gofres,bebidas,crepes,diaSemana,observacion,helados_inicio,helados_fin
[],[],[],[],domingo,,"13:23:46,397","13:24:18,548"
[],[],[],[],sábado,Artesano,"13:05:31,907","13:07:36,550"
[],[],[],[],domingo,Artesano,"13:51:39,362","13:55:55,723"
[],[],[],[],domingo,,"14:26:27,098","14:26:33,521"
[],[],[],[],viernes,,"13:16:31,249","13:16:40,197"
[],[],[],[],viernes,,"13:40:47,290","13:41:05,219"
[],[],[],[],viernes,,"13:58:07,413","13:58:52,389"
[],[],[],[],sábado,,"13:40:43,069","13:40:58,084"
[],"[{'inicio': '14:21:02,537', 'fin': '14:28:31,195'}]",[],[],viernes,,,
[],[],[],[],domingo,,"12:23:41,690","12:23:56,166"
[],[],[],"[{'inicio': '13:30:46,189', 'fin': '13:33:04,462'}]",domingo,,"13:29:01,408","13:29:43,954"
"[{'inicio': '13:50:02,777', 'fin': '13:50:49,974'}]",[],[],[],sábado,,,
[],[],"[{'inicio': '12:42:31,342', 'fin': '12:43:05,099'}]",[],domingo,,"12:43:10,791","12:43:44,592"
[],[],[],[],sábado,Artesano,"13:00:56,669","13:03:16,472"
[],[],[],[],domingo,,"14:29:35,359","14:29:43,965"
"[{'inicio': '13:30:36,733', 'fin': '13:31:42,774'}]",[],[],[],sábado,,,
"[{'inicio': '12:22:16,503', 'fin': '12:22:34,797'}]",[],[],[],sábado,,,
[],[],[],[],viernes,,"13:34:09,034","13:34:32,148"
[],[],"[{'inicio': '12:20:31,215', 'fin': '12:23:10,458'}]",[],domingo,,,
[],[],[],[],domingo,,"14:24:22,153","14:24:33,126"
[],[],"[{'inicio': '14:56:20,560', 'fin': '14:59:48,092'}]",[],domingo,,,
[],[],[],[],domingo,,"11:48:23,024","11:48:28,703"
[],[],[],[],domingo,,"11:57:47,063","11:58:01,152"
"[{'inicio': '13:53:56,860', 'fin': '13:54:20,743'}]",[],[],[],sábado,,"13:53:49,982","13:54:18,829"
[],[],[],[],domingo,Artesano,"13:45:59,284","13:47:28,613"
[],[],[],[],domingo,,"14:08:25,951","14:09:09,016"
"[{'inicio': '14:37:58,195', 'fin': '14:38:16,917'}]",[],[],[],domingo,,,
[],[],[],[],domingo,Llego una cuarta persona,"13:35:54,461","13:36:04,587"
[],"[{'inicio': '13:30:58,415', 'fin': '13:32:35,927'}]",[],[],domingo,,"13:29:57,955","13:30:12,738"
[],[],[],[],viernes,,"13:53:47,219","13:54:00,937"
"[{'inicio': '13:44:07,909', 'fin': '13:44:41,775'}]",[],[],[],sábado,,"13:42:46,483","13:44:07,060"
[],[],[],[],sábado,,"12:38:06,515","12:38:30,390"
[],[],[],[],sábado,,"12:13:40,181","12:15:02,182"
[],[],[],[],domingo,,"13:21:47,373","13:22:34,915"
[],[],[],[],domingo,Artesano,"11:52:06,411","11:53:33,143"
[],"[{'inicio': '14:26:31,905', 'fin': '14:31:06,025'}]",[],[],viernes,,,
[],[],[],[],viernes,,"13:34:44,775","13:35:06,612"
"[{'inicio': '14:30:41,966', 'fin': '14:34:26,413'}]",[],[],[],domingo,4 copas,,
[],[],[],[],domingo,Segundo es un artesano,"12:56:43,072","12:56:54,071"
"[{'inicio': '14:19:27,988', 'fin': '14:20:34,472'}]",[],[],[],viernes,,,
"[{'inicio': '13:08:29,734', 'fin': '13:10:40,455'}]",[],[],[],sábado,,,
[],[],[],"[{'inicio': '13:00:40,224', 'fin': '13:10:31,251'}, {'inicio': '13:11:31,410', 'fin': '13:15:26,109'}]",domingo,,,
[],[],[],[],viernes,,"12:45:23,267","12:45:52,296"
